,title,price,mileage,year,location
168,Yamaha Nmax Abs,"Rp 27,100,000",10 - 20K KM,2019,Kendalsari
169,Honda New Pcx 150 Cbs,"Rp 28,900,000",5 - 10K KM,2019,Tambakboyo
170,Honda New Beat Fi Cw-cbs Plus,"Rp 15,500,000",0 - 1K KM,2021,Ngandong
171,Honda Scoopy Esp,"Rp 16,100,000",10 - 20K KM,2017,Citrodiwangsan
172,Honda Beat Fi Sporty Cw,"Rp 9,300,000",10 - 30K KM,2018,Pancoran Mas
173,Honda Revo Fit,"Rp 8,500,000",10 - 30K KM,2015,Karanglo
174,Honda Vario 150 Esp Sporty,"Rp 16,400,000",10 - 20K KM,2015,Mojayan
175,Honda Spacy Helm In Cw,"Rp 7,500,000",10 - 20K KM,2012,Pancoran Mas
176,Honda Beat,"Rp 7,000,000",10 - 20K KM,2009,Pancoran Mas
177,Yamaha Nmax Abs,"Rp 22,800,000",10 - 30K KM,2016,Karanggeneng
178,Yamaha R15,"Rp 19,500,000",10 - 30K KM,2017,Pancoran Mas
179,HONDA VARIO 150 ESP EXCLUSIVE,"Rp 19,750,000",0 - 1K KM,2015,Depok
180,Honda Vario 110 Cbs Advance,"Rp 13,700,000",10 - 30K KM,2017,Daleman
181,Honda Beat Fi Cbs Iss Plus,"Rp 12,500,000",10 - 30K KM,2019,Pancoran Mas
182,Honda Beat Fi Pop Cw,"Rp 9,000,000",10 - 30K KM,2015,Citrodiwangsan
183,Honda Pcx 150 Built Up,"Rp 26,500,000",10 - 20K KM,2016,Pancoran Mas
184,Yamaha N Max,"Rp 24,900,000",10 - 30K KM,2017,Tegalmulyo
185,Yamaha All New Nmax 155,"Rp 21,500,000",10 - 30K KM,2018,Pancoran Mas
186,Yamaha All New Vixion,"Rp 18,000,000",10 - 20K KM,2018,Kalikotes
187,Honda Beat Fi Pop Cw Esp,"Rp 7,500,000",5 - 10K KM,2016,Pancoran Mas
188,Honda New Vario 125 Esp Cbs,"Rp 17,300,000",10 - 30K KM,2017,Alasombo
189,Honda Vario 150 Esp Exclusive,"Rp 16,500,000",10 - 20K KM,2018,Pancoran Mas
190,Suzuki Satria Fu 150,"Rp 6,500,000",10 - 30K KM,2013,Pancoran Mas
191,Kawasaki Ninja R,"Rp 19,500,000",10 - 20K KM,2014,Pancoran Mas
192,Honda Vario 150 Esp Exclusive,"Rp 21,700,000",10 - 20K KM,2019,Lumbung Kerep
193,Honda Vario 110 Cbs Advance,"Rp 14,600,000",10 - 20K KM,2018,Bulurejo
194,Yamaha Mio M3 125,"Rp 11,400,000",10 - 20K KM,2018,Jetis
195,Suzuki Gsx 150 Bandit,"Rp 17,600,000",1 - 5K KM,2018,Cilodong
196,Honda Vario 125 Cbs Iss,"Rp 16,000,000",10 - 30K KM,2016,Kwarasan
197,Honda New Beat Street Esp,"Rp 16,100,000",1 - 5K KM,2021,Kelapa Dua Wetan
198,Honda Pcx,"Rp 28,600,000",5 - 10K KM,2019,Ciracas
199,Yamaha Nmax Abs,"Rp 21,700,000",1 - 5K KM,2017,Kelapa Dua Wetan
200,Honda Beat Streetspionplus,"Rp 13,900,000",10 - 20K KM,2018,Pemalang
201,Honda Beat Fi Sporty Cw,"Rp 15,400,000",10 - 20K KM,2019,Pomah
202,Honda New Vario Cw Fi,"Rp 11,300,000",10 - 30K KM,2015,Gombang
203,Honda Vario 150 Esp Exclusive,"Rp 17,900,000",10 - 30K KM,2016,Kaliwungu
204,Honda Vario 150 Esp Sporty,"Rp 22,400,000",5 - 10K KM,2020,Birit
205,Honda Beat Fi Cw + Sporty,"Rp 12,300,000",10 - 30K KM,2016,Beteng
206,Honda Beat Fi Sporty Cw Plus,"Rp 14,700,000",10 - 20K KM,2020,8 Ilir
207,Honda Vario 150 Esp Exclusive,"Rp 20,600,000",10 - 30K KM,2018,Dukuh
208,Honda Scoopy Esp,"Rp 17,400,000",10 - 20K KM,2018,Danguran
209,Honda New Pcx 150 Cbs,"Rp 28,200,000",1 - 5K KM,2021,Sukorejo
210,Yamaha All New Nmax 155,"Rp 30,100,000",5 - 10K KM,2020,Sukorejo
211,Honda Pcx,"Rp 25,500,000",10 - 20K KM,2019,Citrodiwangsan
212,Honda Vario 150 Esp Exclusive,"Rp 21,700,000",10 - 20K KM,2019,Tonggalan
213,Suzuki Satria Fu 150 Scdz,"Rp 10,600,000",10 - 30K KM,2015,Kembang Kuning
214,Honda Cbr 150 R,"Rp 18,900,000",10 - 30K KM,2015,Kuwiran
215,Honda Genio Cbs,"Rp 14,900,000",5 - 10K KM,2020,Blimbing
216,Yamaha Jupiter Mx King 150,"Rp 15,500,000",10 - 30K KM,2016,Papahan
217,Honda Beat Fi Sporty Cw,"Rp 14,800,000",10 - 20K KM,2019,Kiringan
218,Honda Beat,"Rp 11,800,000",10 - 20K KM,2016,Pemalang
219,Yamaha New Vixion Ks Se,"Rp 14,200,000",10 - 30K KM,2014,Lencoh
220,Yamaha R15,"Rp 18,300,000",5 - 10K KM,2017,Pagongan
221,Yamaha N Max,"Rp 21,500,000",5 - 10K KM,2017,Panggung
222,Honda Vario 125 Esp Cbs Iss,"Rp 17,500,000",10 - 20K KM,2019,Panggung
223,Honda Vario 125 Esp Cbs Iss,"Rp 19,500,000",10 - 20K KM,2019,Kwaren
224,Honda Beat,"Rp 12,000,000",1 - 5K KM,2018,Kalisari
225,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
226,Yamaha R15,"Rp 15,900,000",1 - 5K KM,2015,Kalisari
227,Honda Beat,"Rp 12,800,000",1 - 5K KM,2018,Kalisari
228,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
229,Honda Beat,"Rp 12,800,000",1 - 5K KM,2018,Kalisari
230,Honda Scoopy,"Rp 15,000,000",1 - 5K KM,2017,Kalisari
231,Yamaha R15,"Rp 15,900,000",1 - 5K KM,2015,Kalisari
232,Yamaha R15,"Rp 15,900,000",1 - 5K KM,2015,Kalisari
